,artist,song_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,lyrical_valence,pca1,pca2
145,Ludacris,U Got A Problem?,=,++,=,--,++,--,++,+,++,=,--,1.2665848679029423,0.27698457714862895
146,Art vs Science,Hollywood,=,++,=,--,=,--,++,+,=,=,--,-38.036682179252765,-0.1363562639807507
147,Chubby Checker,Teach Me To Twist,=,+,=,--,=,-,=,++,++,=,--,3.8603233606610385,0.31966968878216734
148,The National Parks,Come Closer,=,+,=,--,=,--,++,++,+,=,--,-21.38279344020715,0.3659828477367754
149,Barrington Levy,My Bible,++,=,=,--,++,--,++,=,=,=,--,13.199895249867636,-0.574664257282096
150,YOUNG CAPO,Never Change,=,+,=,--,++,=,=,++,-,=,--,-24.41356940937718,0.22980674235667317
151,Greg Phillinganes,Lazy Nina,=,=,+,--,++,--,=,-,++,=,--,40.79098606565135,-0.6012696434860054
152,Wiz Khalifa,Karate (feat. Chevy Woods) / Never Hesitate (feat. Darrius Willrich),=,+,=,--,++,--,=,++,++,=,--,2.3779341663881137,0.29072334083733425
153,Kylie Minogue,Your Disco Needs You,=,++,=,--,++,=,++,++,+,=,--,-35.35497516266435,-0.03900510283558487
154,Friyie,Paper Cuts,=,=,=,--,++,=,=,=,+,=,--,11.683413318311636,-0.6253606651977764
155,Medeiros,If I Knew,=,=,=,--,=,=,=,=,=,=,--,2.682800681609503,-0.6989134487090736
156,graves,Glass Hearts (How Much You Mean),=,++,=,--,++,-,=,++,+,=,--,-16.46913030030412,0.5851842124763259
157,Iced Earth,Framing Armageddon,=,++,=,--,++,--,++,=,--,=,--,24.911152568667255,-0.11037423866927246
158,William Black,Drown the Sky,=,+,=,--,=,=,=,=,=,=,--,-16.516252508420887,-0.26285578328543624
159,Editors,You Don't Know Love,=,+,=,--,=,--,++,++,++,=,--,-32.45569383308367,0.08785996438458639
160,Doc Watson,The Blue Ridge Mountain Blues,-,=,=,--,=,++,++,++,++,=,--,41.9337917066856,0.5907471011033529
161,PawPaw Rod,HIT EM WHERE IT HURTS,+,+,=,--,++,-,++,=,++,=,--,16.680141701393044,-0.19575331189176834
162,Andre Nickatina,Pick-Cha,++,+,=,--,++,--,=,++,++,=,--,10.839616715507365,0.5153792990209393
163,Andre Nickatina,Pick-cha,++,+,=,--,++,--,=,++,++,=,--,10.806344491467433,0.5178046925838594
164,The Game,Life,=,++,=,--,++,--,=,++,++,=,--,10.40832125025316,-0.5764950068322883
165,Marianas Trench,Only the Lonely Survive,=,++,=,--,++,--,=,=,+,=,--,-33.335730197982976,0.004043052325558086
166,Bayside,Choice Hops And Bottled Self Esteem,=,++,=,--,++,--,++,=,=,=,--,-11.392375987518419,-0.2944279592423992
167,Lisa Stansfield,I Cried My Last Tear Last Night,=,=,=,--,++,=,++,++,+,=,--,26.501190536529364,0.21874193485059476
168,Ha*Ash,Un Beso Tuyo,=,+,=,--,=,--,++,=,+,=,--,-11.598111216391843,-0.10517895293474543
169,K.A.A.N.,Jazz,=,++,=,--,++,=,=,++,++,=,--,12.688019728452755,-0.5274557473459006
170,Beenie Man,Trus Me,+,+,+,--,++,=,=,++,++,=,--,34.57110780460113,-0.7105876873977446
171,Two Door Cinema Club,This Is the Life,=,++,=,--,++,--,++,=,+,=,--,-25.39120201069301,0.22196636638473652
172,Spice 1,Politicin',+,+,=,--,++,--,=,=,++,=,--,12.635896697249716,-0.4215489799767621
173,The Stooges,Dirt - Take 5,=,+,=,--,=,--,++,=,++,=,--,-12.862261329069888,-0.40534534459973454
174,Evie Irie,Stupid Things,=,+,=,--,+,--,++,++,+,=,--,-19.34695605424785,-0.5536950897224068
175,Marianas Trench,Only The Lonely Survive,=,++,=,--,++,--,=,+,+,=,--,-33.33947552386673,0.003649383762791567
176,The Offspring,Nitro (Youth Energy),=,++,=,--,++,--,=,+,++,=,--,-2.7736412492542515,-0.03198117305817588
177,Hunter Hayes,Love Too Much,=,=,=,--,=,-,=,+,=,=,--,-16.723070242436812,-0.5638281939060895
178,Sara Bareilles,Hold My Heart,=,+,=,--,=,--,++,=,+,=,--,-15.59507453246389,0.6205904459126391
179,Secondhand Serenade,Hear Me Now,-,+,=,--,+,--,++,++,=,=,--,-19.439485150591214,-0.4432416152661044
180,Sean Paul,Mek It Go So Den,+,++,=,--,++,=,=,++,++,=,--,14.903101736126695,-0.4306319728836762
181,Dr. Israel,Time,+,++,=,--,++,+,++,=,++,=,--,10.744329482371555,0.5646564174008111
182,Colony House,Take It Slow,-,++,=,--,++,--,++,=,++,=,--,13.61920785946285,0.5640192838896935
183,Ricky Skaggs,"Cry, Cry Darlin'",-,=,+,--,=,++,++,++,++,=,--,38.61762687352601,-0.4213868199719016
184,YNW Melly,Killuminati (feat. Foreign Teck),=,=,=,--,++,=,=,++,++,=,--,10.81827009688631,-0.6156188648222611
185,Fuskee,These Days,+,=,=,--,++,--,=,=,++,=,--,-1.4442397940362246,0.24297513923488215
186,Foals,Red Socks Pugie,=,++,=,--,=,-,++,=,=,=,--,-4.372314536555527,-0.1986845117756295
