,artist,song_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,lyrical_valence,pca1,pca2
65,The Decemberists,Mistral,=,+,=,--,=,--,++,=,+,=,--,-22.268478669141256,0.4280690729201601
66,The Marshall Tucker Band,Heartbroke,=,+,+,--,++,++,=,++,++,=,--,44.68219354747267,-0.3039743901155874
67,Hole,Doll Parts,-,=,+,--,=,-,++,=,+,=,--,42.31425265216498,-0.3824003478042641
68,Jerry Reed,Love And War (Ain't Much Difference In The Two),=,++,=,--,++,++,=,=,++,=,--,34.93975933114677,0.40751262563219026
69,Futuristic,Get It Together,=,+,=,--,++,--,=,+,++,=,--,11.968108501099564,0.5474466646634053
70,French Montana,That's A Fact (feat. Fivio Foreign & Mr. Swipey) - Remix,+,+,=,--,++,--,++,++,+,=,--,-11.056702584018236,-0.23372584971019758
71,Jack Harlow,GOIN BACK DOWN,+,+,=,--,+,--,++,=,++,=,--,33.692054697066666,0.04151629285980002
72,Sonora Tropicana,Que Bello,+,=,+,--,++,=,++,=,++,=,--,42.72183566954836,-0.47458510356244915
73,Robert Glasper,Persevere,=,+,=,--,++,-,++,=,++,=,--,7.132237284097508,0.25550346148585074
74,Spose,We Back (feat. Bensbeendead.),=,++,=,--,++,--,=,++,=,=,--,-13.436007525267925,-0.3283816021804722
75,Pusha T,S.N.I.T.C.H.,=,+,=,--,++,--,=,+,-,=,--,-1.1696643627696963,-0.06545285796844284
76,Hippo Campus,Suicide Saturday,=,+,=,--,=,--,=,++,++,=,--,-5.497764555711094,0.06466567603510134
77,Tech N9ne,Outdone,=,=,=,--,++,++,=,++,++,=,--,4.69136084716309,0.27037751000506904
78,Stiff Little Fingers,Die and Burn,=,++,+,--,=,--,++,-,+,=,--,45.975069302235305,-0.2623498440731621
79,Tayla Parx,Mood,=,=,=,--,++,--,++,=,=,=,--,40.48218846724026,0.500732360370047
80,Spice Girls,Denying,=,+,=,--,++,-,=,=,++,=,--,28.80013157873666,0.223674855141493
81,Playboi Carti,Yah Mean,+,+,=,--,++,--,=,=,++,=,--,1.5834551938821257,0.14853097331335688
82,Simple Plan,Try,=,++,=,--,=,--,=,++,=,=,--,-9.326576833361024,-0.0702483694348647
83,Jack White,Lazaretto,=,++,=,--,++,--,++,=,++,=,--,18.688566619876106,-0.17284968535870252
84,Sharon Tandy,Stay with Me,=,=,=,--,=,++,++,=,-,=,--,-38.69022356220809,-0.08576299740646985
85,Vito & The Salutations,Gloria,-,=,+,--,=,++,=,++,=,=,--,42.898867739239485,-0.38839540786690613
86,5 Seconds of Summer,The Only Reason,=,++,=,--,=,--,++,++,=,=,--,5.707607288273702,0.32373340713456294
87,Harry Styles,Golden,=,++,=,--,+,-,++,+,=,=,--,-21.55515264035532,0.4377067843416049
88,Bronze Radio Return,Nowhere to Be,=,+,=,--,=,+,++,+,++,=,--,7.577321760074294,0.2433589944317117
89,Spineshank,I Want You to Know,=,++,=,--,=,--,++,=,++,=,--,-6.3911521348598015,-0.030596559097112522
90,Tina Turner,Go Ahead,=,+,=,--,=,--,++,=,=,=,--,12.255761517993488,-0.3848446893811593
